T,Sd,Sv,Sa
4.725232294714229453e-01,3.618610581283870833e-03,4.667959185858041454e-02,1.097256070077705647e+00
4.830437083192654635e-01,3.615387414220265147e-03,4.131253978896862189e-02,1.084158213819205185e+00
4.937984200434719084e-01,3.590179399628821988e-03,4.139224049719929244e-02,1.073724569084427483e+00
5.047925797146833871e-01,3.705940876270569576e-03,4.286454591984822926e-02,1.065923057119463335e+00
5.160315185143204975e-01,3.865933173382939732e-03,4.497735297913992708e-02,1.086217075417233779e+00
5.275206863197274831e-01,4.024732494274403140e-03,4.723798093927206176e-02,1.111618649992131003e+00
5.392656543468743457e-01,4.184114784099046171e-03,4.959997230771572702e-02,1.135740471849742361e+00
5.512721178518971143e-01,4.342656953855752490e-03,5.145898213774703633e-02,1.157109075712602131e+00
5.635458988927866120e-01,4.484255570330853216e-03,5.229368509710437263e-02,1.174175486081316055e+00
5.760929491525633717e-01,4.723748780253214305e-03,5.172343507484491315e-02,1.185466642059971765e+00
5.889193528253109378e-01,5.224281321209721038e-03,5.339460514628077692e-02,1.190091588700663117e+00
6.020313295664639908e-01,5.576749983979088082e-03,5.632379873991701091e-02,1.187838774503762407e+00
6.154352375087832616e-01,5.732704939806691595e-03,5.660176124405071063e-02,1.179207825862113701e+00
6.291375763454809533e-01,5.977382628279828171e-03,5.706138366305023996e-02,1.165118109762055543e+00
6.431449904819871444e-01,6.483272637236451967e-03,6.008109339826830236e-02,1.146598953988947622e+00
6.574642722578915022e-01,7.386418530703231858e-03,6.856753801885760724e-02,1.131363575806835886e+00
6.721023652406186155e-01,8.338610288293000355e-03,7.793881190788433388e-02,1.135972245681146298e+00
6.870663675924363334e-01,8.836977218469301010e-03,8.236013913054129887e-02,1.140772997792703691e+00
7.023635355124261404e-01,9.016171480356554788e-03,8.018724663852058732e-02,1.145842875327348631e+00
7.180012867550902289e-01,8.704801507082046350e-03,7.528977759974621320e-02,1.151070761875474302e+00
7.339872042272963526e-01,8.209605222989640669e-03,6.942410075070994113e-02,1.156286623762700527e+00
7.503290396653090610e-01,7.791494869468928650e-03,6.589521211077468965e-02,1.161213264361593334e+00
7.670347173936847840e-01,7.039898615822091400e-03,6.038452945517418929e-02,1.165644311750367645e+00
7.841123381678591908e-01,6.223698839589418552e-03,5.397921004396354083e-02,1.169397126108471463e+00
8.015701831022868928e-01,5.680772193956644747e-03,4.967261664545855049e-02,1.172405632633227057e+00
8.194167176860409629e-01,5.413884126297247718e-03,4.784430449155487042e-02,1.174682948005583372e+00
8.376605958878128311e-01,5.271692097432008339e-03,4.557051485828947368e-02,1.176325816522149736e+00
8.563106643523133998e-01,5.180640207064090078e-03,4.339929824919750573e-02,1.177423124310751801e+00
8.753759666901010927e-01,5.149771552970128924e-03,4.253643852388378638e-02,1.178172830881771604e+00
8.948657478629220563e-01,5.212044499112716313e-03,4.203755594174816979e-02,1.178632437979610703e+00
9.147894586666890371e-01,5.258967840790000799e-03,4.220306914811924187e-02,1.178900551526377072e+00
9.351567603142671992e-01,5.567911686922509366e-03,4.317592939336332286e-02,1.179018500959375215e+00
9.559775291202973202e-01,5.697226133823554348e-03,4.419804914444906002e-02,1.179017691916779187e+00
9.772618612903221091e-01,5.720709578837254207e-03,4.475162296492839892e-02,1.178856299278941533e+00
9.990200778165423401e-01,5.591554114809550204e-03,4.488017990274147800e-02,1.178556858136642127e+00
1.021262729482569132e+00,5.362267852452597648e-03,4.480883260997223921e-02,1.178063308151422683e+00
1.044000601979610421e+00,5.445515562803205679e-03,4.437616078969564004e-02,1.177407336636396629e+00
1.067244721136561436e+00,5.389113691957865201e-03,4.365331671636409755e-02,1.176570615079565840e+00
1.091006358266547016e+00,5.213681293888751400e-03,4.269196641423187583e-02,1.175600223474287276e+00
1.115297035632492273e+00,4.957571406775276683e-03,4.154890883948352681e-02,1.174501290707774315e+00
1.140128532034391018e+00,4.653919099161859564e-03,4.027867857549616293e-02,1.173305707174763235e+00
1.165512888520963797e+00,4.373069346643458991e-03,3.892066647583145023e-02,1.172065377605818304e+00
1.191462414228491529e+00,4.087484548433745202e-03,3.751580576572231124e-02,1.170805668254778942e+00
1.217989692349636943e+00,3.788934449026607008e-03,3.608700332744038675e-02,1.169847735883905671e+00
1.245107586235168151e+00,3.582372724950232991e-03,3.467301379104592574e-02,1.168873474071915775e+00
1.272829245631529327e+00,3.559010745549405670e-03,3.328668458114120154e-02,1.167926848136407569e+00
1.301168113057287190e+00,3.407370877746913624e-03,3.253461436991963995e-02,1.166996272517946798e+00
1.330137930321549700e+00,3.137900950668952305e-03,3.189713360404376752e-02,1.166083276950039105e+00
1.359752745187507994e+00,3.073769786931449324e-03,3.121600411637018291e-02,1.165192510692441008e+00
1.390026918184342986e+00,3.205746454748618739e-03,3.116302867037561153e-02,1.164299551066718008e+00
1.420975129570793527e+00,3.345829775920604928e-03,3.127058587964656744e-02,1.163409559212192246e+00
1.452612386453767446e+00,3.468429187035253040e-03,3.138488796185615742e-02,1.162507302839294265e+00
1.484954030065439134e+00,3.573117084120817737e-03,3.150344485920339443e-02,1.161589222906082908e+00
1.518015743202373535e+00,3.682567891162457935e-03,3.162510737600476157e-02,1.160654714407274524e+00
1.551813557830274304e+00,3.824754659510968494e-03,3.174681225611442753e-02,1.159686677146309464e+00
1.586363862858052753e+00,4.025677142738903237e-03,3.187033603038699758e-02,1.158695082550832645e+00
1.621683412084974574e+00,4.291046750027720236e-03,3.199023075897729218e-02,1.157680190719850177e+00
1.657789332324751674e+00,4.600282781728674657e-03,3.210862813677450855e-02,1.156646570129174378e+00
1.694699131710510676e+00,4.911220623702141144e-03,3.222269915235870252e-02,1.155594796257465973e+00
1.732430708184669488e+00,5.172401130606449349e-03,3.233350924062659837e-02,1.154527297355421478e+00
1.771002358177830249e+00,5.530250706346473075e-03,3.244238348207604400e-02,1.153462483484930967e+00
1.810432785480909468e+00,5.755366228320675341e-03,3.254784802571626667e-02,1.152391349970140810e+00
1.850741110314798821e+00,5.763789609862684724e-03,3.265044378389202889e-02,1.151319864079519029e+00
1.891946878601956872e+00,5.542220651456378037e-03,3.274920891532279166e-02,1.150254191276657734e+00
1.934070071444431438e+00,5.098117706740031181e-03,3.284639785796152067e-02,1.149195881382386375e+00
1.977131114812897161e+00,5.234461287736238630e-03,3.294024866167039739e-02,1.148146911774889478e+00
2.021150889451422739e+00,5.006233450222654854e-03,3.303263248758666476e-02,1.147112177219434814e+00
2.066150741002757751e+00,4.960624504447811063e-03,3.312336643885712556e-02,1.146088297919489740e+00
2.112152490359057389e+00,4.812349009664309771e-03,3.321223737689402156e-02,1.145079761460609635e+00
2.159178444243054162e+00,4.601043909119690960e-03,3.329948645625139397e-02,1.144091051030447392e+00
2.207251406024820728e+00,4.334567943208620690e-03,3.338587500896754434e-02,1.143110472675360478e+00
2.256394686779357173e+00,4.190971061371014973e-03,3.346829995713071493e-02,1.142145211409811623e+00
2.306632116590376036e+00,3.878668470640944232e-03,3.355156298540792198e-02,1.141194836761749487e+00
2.357988056105749575e+00,3.670680952054817744e-03,3.363239412249193622e-02,1.140262657312118622e+00
2.410487408350242777e+00,3.649509385897589057e-03,3.370863148797077075e-02,1.139340010729899655e+00
2.464155630801247998e+00,3.656181838285737801e-03,3.378145292202910238e-02,1.138432961649698649e+00
2.519018747733372976e+00,3.869704221112425530e-03,3.385380450065191005e-02,1.137543541316892837e+00
2.575103362837888987e+00,4.197848342455458640e-03,3.392281478090362207e-02,1.136671410605540444e+00
2.632436672123126264e+00,4.558166430483370085e-03,3.398835933821012234e-02,1.135813401212322438e+00
2.691046477102103207e+00,5.116095421953500977e-03,3.404819010312139238e-02,1.134969467647604535e+00
2.750961198273764285e+00,5.868899053906386637e-03,3.410234166281687906e-02,1.134143278090149920e+00
2.812209888904380062e+00,6.718612356651256813e-03,3.415613844306449737e-02,1.133337910576999397e+00
2.874822249115766226e+00,7.271675251408172939e-03,3.420368422268015712e-02,1.132550882148748883e+00
2.938828640287184157e+00,7.521284907329797709e-03,3.424414304818867300e-02,1.131775501072174839e+00
3.004260099777884996e+00,7.453091926329517662e-03,3.428259244315923909e-02,1.131026520609675678e+00
3.071148355977450173e+00,7.133736538034402518e-03,3.431212568557742010e-02,1.130297666728474093e+00
3.139525843691207463e+00,6.602874417237506594e-03,3.434086371901309831e-02,1.129591193390970805e+00
3.209425719868207239e+00,6.537663604739928254e-03,3.436422864110158515e-02,1.128906531686582282e+00
3.280881879679365287e+00,6.101796971164491316e-03,3.437961217945711967e-02,1.128234382665591840e+00
3.353928972953589493e+00,6.309705043650983523e-03,3.439323218090020728e-02,1.127592290064320490e+00
3.428602420979827592e+00,6.612671873728508468e-03,3.440011483856494218e-02,1.126973314628872069e+00
3.504938433683222776e+00,7.002486860328858108e-03,3.440516063574395461e-02,1.126381500769528143e+00
3.582974027183678967e+00,7.469176730501430293e-03,3.440604460224135769e-02,1.125805433395115740e+00
3.662747041745355592e+00,7.978156246018277067e-03,3.440327338272738955e-02,1.125252812577705264e+00
3.744296160125810236e+00,8.498225897904066947e-03,3.439318939754601456e-02,1.124722356863385286e+00
3.827660926333656732e+00,8.984712770368760704e-03,3.438072805042795971e-02,1.124215180849384321e+00
3.912881764803867846e+00,9.410085079722175366e-03,3.436708759862040774e-02,1.123733225430133320e+00
4.000000000000000000e+00,9.735731793384851812e-03,3.435075037648653573e-02,1.123272647969299376e+00
